source,config,base,metric,tau,m,sigma,qps,image,quality,bd_rate
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim03,wd4,-12.102454815916753
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim04,wd4,-7.566544511423013
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim05,wd4,-6.83449649466259
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim06,wd4,-12.311543125672742
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim07,wd4,-10.649520190570138
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim08,wd4,-11.434437974900803
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim09,wd4,-9.45663998241214
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim10,wd4,-9.68184112644741
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim11,wd4,-12.62614628987685
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim12,wd4,-8.96161432501118
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim01,psnr_y,0.8651493763748075
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim02,psnr_y,3.3447588034182907
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim03,psnr_y,1.954773895668649
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim04,psnr_y,1.3983535827859939
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim05,psnr_y,1.9472452896140968
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim06,psnr_y,2.0211848623004514
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim07,psnr_y,2.132411862900474
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim08,psnr_y,1.270067615636039
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim09,psnr_y,2.506420085537764
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim10,psnr_y,2.2621144314576735
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim11,psnr_y,1.7114234632863878
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim12,psnr_y,2.3432023761783105
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim01,psnr_yuv,0.7050326042499444
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim02,psnr_yuv,1.9180021438235162
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim03,psnr_yuv,1.196630669864085
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim04,psnr_yuv,1.1077229452868709
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim05,psnr_yuv,2.0850326123958762
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim06,psnr_yuv,1.7705577708396314
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim07,psnr_yuv,1.4369673218473267
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim08,psnr_yuv,1.071166795784273
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim09,psnr_yuv,2.150061534181358
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim10,psnr_yuv,1.7364671621081351
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim11,psnr_yuv,1.365197827136111
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim12,psnr_yuv,2.251410549270094
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim01,ssim,-5.9125837578262725
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim02,ssim,-4.91238957243636
