set,metric,estimator,m,sigma,image,plane,n_tiles,neg_diag_frac,neg_eig_frac,neg_energy_frac,tiles_with_neg_frac,diag_dom_mean
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim05,0,6144,0.017842610677083332,0.2598826090494792,0.10527830856177496,1.0,0.4502434257707732
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim05,1,1536,0.001861572265625,0.2586568196614583,0.07601224716684053,1.0,0.523895593882446
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim05,2,1536,0.0010579427083333333,0.2706400553385417,0.07150769835156533,1.0,0.5191906441119075
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim06,0,6144,0.016110738118489582,0.29987335205078125,0.11738069665263132,1.0,0.41213805934720327
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim06,1,1536,0.004608154296875,0.2935384114583333,0.1440032271831878,1.0,0.4736752833219567
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim06,2,1536,0.0026041666666666665,0.3053080240885417,0.112463122504707,1.0,0.4752274376010554
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim07,0,6144,0.021148681640625,0.28622690836588544,0.11506769711794898,1.0,0.4211891539397891
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim07,1,1536,0.008900960286458334,0.2761433919270833,0.13095848385732417,1.0,0.5040774683233962
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim07,2,1536,0.00555419921875,0.2889302571614583,0.11159691624356502,1.0,0.49823472319101625
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim08,0,6144,0.023653666178385418,0.2714436848958333,0.1146827579804867,1.0,0.4235689815371318
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim08,1,1536,0.002227783203125,0.2678324381510417,0.09536999012536347,1.0,0.5183255399270243
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim08,2,1536,0.001220703125,0.2745869954427083,0.08192542888972815,1.0,0.5218723819425456
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim09,0,6144,0.0185546875,0.3021748860677083,0.14372296094037496,1.0,0.40605660680925376
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim09,1,1536,0.005208333333333333,0.2915140787760417,0.13494705124831663,1.0,0.48465931443262206
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim09,2,1536,0.004302978515625,0.3066609700520833,0.12939831194749923,1.0,0.48291712762921507
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim10,0,6144,0.0166473388671875,0.27866363525390625,0.11646539039965899,1.0,0.42653048845831937
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim10,1,1536,0.0035502115885416665,0.2679443359375,0.09749154224800692,1.0,0.5184946385701632
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim10,2,1536,0.0037333170572916665,0.2900187174479167,0.10074763769039029,1.0,0.5058948663451917
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim11,0,6144,0.018979390462239582,0.29577891031901044,0.10252275497381709,1.0,0.4135753460126068
